index,bindingTitle,bindingId,publicationId,date,issue,generalType,publisher,pageNumber,textHighlights,terms,url,copyrights,references
298,Aamulehti,766381,0355-6913,1917-10-10,201,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766381?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 10.10.1917, nro 201, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766381?page=1
Kansalliskirjaston digitaaliset aineistot"
88,Uusi Suometar,1199682,1457-4721,1917-10-10,233,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199682?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 10.10.1917, nro 233, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199682?page=1
Kansalliskirjaston digitaaliset aineistot"
207,Helsingin Sanomat,1175077,0355-2047,1917-10-10,233,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175077?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 10.10.1917, nro 233, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175077?page=1
Kansalliskirjaston digitaaliset aineistot"
297,Aamulehti,766382,0355-6913,1917-10-11,202,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766382?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 11.10.1917, nro 202, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766382?page=1
Kansalliskirjaston digitaaliset aineistot"
206,Helsingin Sanomat,1175078,0355-2047,1917-10-11,234,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175078?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 11.10.1917, nro 234, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175078?page=1
Kansalliskirjaston digitaaliset aineistot"
86,Uusi Suometar,1199693,1457-4721,1917-10-11,234,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199693?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 11.10.1917, nro 234, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199693?page=1
Kansalliskirjaston digitaaliset aineistot"
205,Helsingin Sanomat,1175079,0355-2047,1917-10-12,235,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175079?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 12.10.1917, nro 235, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175079?page=1
Kansalliskirjaston digitaaliset aineistot"
296,Aamulehti,766383,0355-6913,1917-10-12,203,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766383?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 12.10.1917, nro 203, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766383?page=1
Kansalliskirjaston digitaaliset aineistot"
85,Uusi Suometar,1199694,1457-4721,1917-10-12,235,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199694?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 12.10.1917, nro 235, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199694?page=1
Kansalliskirjaston digitaaliset aineistot"
204,Helsingin Sanomat,1175080,0355-2047,1917-10-13,236,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175080?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 13.10.1917, nro 236, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175080?page=1
Kansalliskirjaston digitaaliset aineistot"
84,Uusi Suometar,1199695,1457-4721,1917-10-13,236,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199695?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 13.10.1917, nro 236, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199695?page=1
Kansalliskirjaston digitaaliset aineistot"
295,Aamulehti,766384,0355-6913,1917-10-13,204,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766384?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 13.10.1917, nro 204, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766384?page=1
Kansalliskirjaston digitaaliset aineistot"
294,Aamulehti,766385,0355-6913,1917-10-14,205,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766385?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 14.10.1917, nro 205, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766385?page=1
Kansalliskirjaston digitaaliset aineistot"
209,Helsingin Sanomat,1175075,0355-2047,1917-10-14,237 B,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175075?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 14.10.1917, nro 237 B, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175075?page=1
Kansalliskirjaston digitaaliset aineistot"
210,Helsingin Sanomat,1175074,0355-2047,1917-10-14,237 A,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175074?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 14.10.1917, nro 237 A, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175074?page=1
Kansalliskirjaston digitaaliset aineistot"
83,Uusi Suometar,1199696,1457-4721,1917-10-14,237,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199696?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 14.10.1917, nro 237, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199696?page=1
Kansalliskirjaston digitaaliset aineistot"
208,Helsingin Sanomat,1175076,0355-2047,1917-10-15,238,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175076?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 15.10.1917, nro 238, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175076?page=1
Kansalliskirjaston digitaaliset aineistot"
82,Uusi Suometar,1199697,1457-4721,1917-10-15,238,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199697?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 15.10.1917, nro 238, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199697?page=1
Kansalliskirjaston digitaaliset aineistot"
81,Uusi Suometar,1199698,1457-4721,1917-10-16,239,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199698?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 16.10.1917, nro 239, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199698?page=1
Kansalliskirjaston digitaaliset aineistot"
202,Helsingin Sanomat,1175082,0355-2047,1917-10-16,239,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175082?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 16.10.1917, nro 239, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175082?page=1
Kansalliskirjaston digitaaliset aineistot"
292,Aamulehti,766387,0355-6913,1917-10-16,206,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766387?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 16.10.1917, nro 206, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766387?page=1
Kansalliskirjaston digitaaliset aineistot"
293,Aamulehti,766386,0355-6913,1917-10-17,207,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766386?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 17.10.1917, nro 207, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766386?page=1
Kansalliskirjaston digitaaliset aineistot"
80,Uusi Suometar,1199699,1457-4721,1917-10-17,240,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199699?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 17.10.1917, nro 240, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199699?page=1
Kansalliskirjaston digitaaliset aineistot"
201,Helsingin Sanomat,1175083,0355-2047,1917-10-17,240,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175083?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 17.10.1917, nro 240, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175083?page=1
Kansalliskirjaston digitaaliset aineistot"
79,Uusi Suometar,1199700,1457-4721,1917-10-18,241,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199700?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 18.10.1917, nro 241, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199700?page=1
Kansalliskirjaston digitaaliset aineistot"
200,Helsingin Sanomat,1175084,0355-2047,1917-10-18,241,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175084?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 18.10.1917, nro 241, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175084?page=1
Kansalliskirjaston digitaaliset aineistot"
